Label,Abbreviation,,,,,,,
1,Fr3,S1,,,,,,
2,Fr3,M1,,,,,,
3,M2,V2,RSC,PtPD,LPtA,MPtA,S1,
4,CPuAM,,,,,,,
5,SC,IC,,,,,,
6,VM,MPA,PLH,ZI,VL,,,
7,CERE,Crus2,,,,,,
8,Tu,Pir,,,,,,
9,V1,V2,,,,,,
10,TeA,DLEnt,PRh,Ect,,,,
11,Fr3,M1,,,,,,
12,FrA,M2,,,,,,
13,MCC,RSC,,,,,,
14,GI,CEA,BLA,AIP,DI,,,
15,CpuVL,,,,,,,
16,PrL,,,,,,,
17,AOB,,,,,,,
18,Tu,PA,,,,,,
19,CPuD,,,,,,,
20,RSC,V1,V2,,,,,
21,CERE,,,,,,,
22,ACC,PrL,,,,,,
23,S1,S2,,,,,,
24,SN,M,,,,,,
25,CERE,,,,,,,
26,AO,,,,,,,
27,MO,CI,VO,,,,,
28,LPtA,,,,,,,
29,MOB,,,,,,,
30,TS,PaS,PrS,DS,DG,CA,HIPP-fi,RSC
31,CERE,,,,,,,
32,S1,,,,,,,
33,S1,,,,,,,
34,En,AIP,AID,AIV,Pir,,,
35,CERE,,,,,,,
36,S1,S2,GI,DI,,,,
37,VO,CI,AIV,LO,,,,
38,S1,,,,,,,
39,PLH,M,,,,,,
40,Ect,DLEnt,PRh,,,,,
41,S1,,,,,,,
42,CpuDM,,,,,,,
43,AU,TeA,,,,,,
44,ACC,M1,M2,,,,,
45,M2,S1,M1,,,,,
46,CERE,,,,,,,
47,IL,MeA,MS,AcbSh,,,,
48,MOB,,,,,,,
49,MPtA,LPtA,RSC,V2,,,,
50,M1,M2,,,,,,
