alcohol,alcohol,alcohol
-0.027697158763476764,-0.027697158763476764,-0.027697158763476764
-0.01413792185134569,-0.01413792185134569,NA
-0.02029609443419725,-0.02029609443419725,-0.02029609443419725
-0.02607208744781511,-0.02607208744781511,-0.02607208744781511
-0.015902230346509318,NA,NA
0.001598891384269438,NA,NA
-0.049475307712240804,-0.049475307712240804,-0.049475307712240804
-0.021716920428907046,-0.021716920428907046,-0.021716920428907046
-0.023660703137668347,-0.023660703137668347,-0.023660703137668347
-0.02171205162664864,-0.02171205162664864,-0.02171205162664864
-0.027697158763476764,-0.027697158763476764,-0.027697158763476764
-0.01900685576889895,-0.01900685576889895,-0.01900685576889895
-0.037379919590140524,-0.037379919590140524,-0.037379919590140524
-0.009844106165961182,NA,NA
-0.01943665672722925,-0.01943665672722925,-0.01943665672722925
-0.00313108888885445,NA,NA
-0.021556553574014866,-0.021556553574014866,-0.021556553574014866
-0.018408321316387144,-0.018408321316387144,-0.018408321316387144
-0.027697158763476764,-0.027697158763476764,-0.027697158763476764
-0.027614063020372465,-0.027614063020372465,-0.027614063020372465
-0.024635061867783636,-0.024635061867783636,-0.024635061867783636
-0.03717363154845923,-0.03717363154845923,-0.03717363154845923
0.001598891384269438,NA,NA
-0.0252393397324445,-0.0252393397324445,-0.0252393397324445
-0.011557997562822681,NA,NA
-0.025205120505632634,-0.025205120505632634,-0.025205120505632634
-0.037379919590140524,-0.037379919590140524,-0.037379919590140524
-0.037379919590140524,-0.037379919590140524,-0.037379919590140524
-0.027697158763476764,-0.027697158763476764,-0.027697158763476764
-0.01568028573071237,-0.01568028573071237,NA
-0.02607208744781511,-0.02607208744781511,-0.02607208744781511
-0.015902230346509318,NA,NA
-0.015902230346509318,NA,NA
-0.01990310387081529,-0.01990310387081529,-0.01990310387081529
-0.024635061867783636,-0.024635061867783636,-0.024635061867783636
-0.015902230346509318,NA,NA
-0.029990109048561045,-0.029990109048561045,-0.029990109048561045
-0.011321136941374389,NA,NA
-0.0252393397324445,-0.0252393397324445,-0.0252393397324445
-0.02208709025488938,-0.02208709025488938,-0.02208709025488938
-0.019962002490725918,NA,NA
-0.026957264981097913,-0.026957264981097913,-0.026957264981097913
-0.027697158763476764,-0.027697158763476764,-0.027697158763476764
-0.012583623905810174,NA,NA
-0.0019750115631168774,NA,NA
-0.027697158763476764,-0.027697158763476764,-0.027697158763476764
-0.006186734615549355,NA,NA
-0.006186734615549355,NA,NA
0.001598891384269438,NA,NA
-0.014483201760127688,NA,NA
-0.02274111757649345,-0.02274111757649345,-0.02274111757649345
0.001598891384269438,NA,NA
-0.0024465564118885254,NA,NA
-0.019265515922724068,-0.019265515922724068,-0.019265515922724068
-0.027697158763476764,-0.027697158763476764,-0.027697158763476764
-0.019962002490725918,NA,NA
-0.014284866052039887,-0.014284866052039887,NA
-0.0026295276457234877,NA,NA
-0.042987016195327646,-0.042987016195327646,-0.042987016195327646
-0.0025449446505493977,NA,NA
-0.017491085343712916,-0.017491085343712916,-0.017491085343712916
-0.015707674219549914,-0.015707674219549914,-0.015707674219549914
-0.024788249378243546,-0.024788249378243546,-0.024788249378243546
-0.0011743624310259471,NA,NA
