alcohol,alcohol,alcohol,results[[4]]
-0.020200019538465782,-0.020200019538465782,-0.020200019538465782,0.011330061850675295
-0.016323522986878735,-0.016323522986878735,-0.016323522986878735,0.018992200699536468
-0.007941514728564992,NA,NA,0.27772331479767776
-0.010175093046620296,NA,NA,0.09465552967364446
-0.012273911683013235,NA,NA,0.2013135702708357
-0.0038775417168864777,NA,NA,0.614289967262316
-0.006430136210059705,NA,NA,0.4921683136512712
0.0018731658258564052,NA,NA,0.8095254241792953
-0.03291740487987423,-0.03291740487987423,-0.03291740487987423,9.013737300437868e-6
-0.03249037333567705,-0.03249037333567705,-0.03249037333567705,1.852301396091208e-7
-0.024637093704373145,-0.024637093704373145,-0.024637093704373145,0.0031958821662884046
-0.013847750397413166,-0.013847750397413166,NA,0.03615334849828469
-0.009203493392296097,NA,NA,0.20676041062197764
-0.018124102784886676,-0.018124102784886676,-0.018124102784886676,0.00646158400044719
-0.01666675188255648,-0.01666675188255648,-0.01666675188255648,0.008702021896412181
-0.017312835374731637,-0.017312835374731637,-0.017312835374731637,0.007773091008765911
-0.009965324096298172,NA,NA,0.11782320225155625
-0.004443315906498549,NA,NA,0.5559894495529726
-0.017981537444240074,-0.017981537444240074,-0.017981537444240074,0.006041193174766289
-0.022495583689915524,-0.022495583689915524,-0.022495583689915524,0.0019584943761065637
-0.01680000683257423,-0.01680000683257423,NA,0.047574699179128016
-0.01439159032576254,-0.01439159032576254,NA,0.03499894534803604
-0.019742176052430966,-0.019742176052430966,-0.019742176052430966,0.010389083976615488
-0.01068209962111132,NA,NA,0.20821438722705807
-0.0077865304640580306,NA,NA,0.36824308252826266
-0.001813120937693044,NA,NA,0.7962028753587772
-0.02186033585768777,-0.02186033585768777,-0.02186033585768777,6.294154568265701e-4
-0.02433000643818563,-0.02433000643818563,-0.02433000643818563,0.0010161951315095271
-0.007016571295961336,NA,NA,0.34542389132357887
-0.014466053711097951,NA,NA,0.11986775552735433
-0.012417338830700942,NA,NA,0.17302460011315865
-0.016628153549403828,-0.016628153549403828,-0.016628153549403828,0.016983508710347702
-0.024031814841062565,-0.024031814841062565,-0.024031814841062565,0.0036261509042239603
-0.0034253558047807483,NA,NA,0.6224143913091036
-0.020508132990312324,NA,NA,0.0656974458650547
-0.02117064121252075,-0.02117064121252075,-0.02117064121252075,0.0035917928695578982
-0.017395909825082774,-0.017395909825082774,-0.017395909825082774,0.01389160350349968
-0.025828748727902043,-0.025828748727902043,-0.025828748727902043,0.0020371434629159334
-0.009277855899696891,NA,NA,0.14319198321172039
-0.029410442864934622,-0.029410442864934622,-0.029410442864934622,3.3245398298195294e-6
-0.026095381524265455,-0.026095381524265455,-0.026095381524265455,2.1567645517980285e-4
-0.017501290639358635,-0.017501290639358635,-0.017501290639358635,0.005017301091012174
-0.03783442640861033,-0.03783442640861033,-0.03783442640861033,7.456559273535772e-7
-0.01103406771805415,NA,NA,0.10677939995252334
-0.011691077912901115,NA,NA,0.10940630437884098
-0.006566638406643348,NA,NA,0.44367928558413927
-0.014160027485029215,NA,NA,0.06295583854315437
0.0030116213309145665,NA,NA,0.6696031546919395
-0.019303901819121887,-0.019303901819121887,-0.019303901819121887,0.0028200979921336276
-0.016341433176725793,-0.016341433176725793,-0.016341433176725793,0.01479651438165406
